GENERO,PAÍS DE PROCEDENCIA,DEPARTAMENTO,RANGO EDAD,MOTIVO VIAJE,NOCHES,TIPO ALOJAMIENTO,GASTO TURISTICO GENERADO,MEDIO,AÑO
FEMENINO,COLOMBIA,NARIÑO,39-50,"SALUD, BIENESTAR Y ATENCIÓN MÉDICA (INCLUYE LA CIRUGÍA ESTÉTICA)",12,HABITACIÓN SIN PAGAR EN VIVIENDA FAMILIAR QUE NO ES ALLEGADA MÍA,"800,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,BOLIVAR,39-50,VISITAR A FAMILIARES Y/O AMIGOS,2,HOTEL,"2,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,27-38,VISITAR A FAMILIARES Y/O AMIGOS,2,HOTEL,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,NARIÑO,27-38,VISITAR A FAMILIARES Y/O AMIGOS,1,HOTEL,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,CUNDINAMARCA,15-26,DE PASO,0,SIN INFORMACION,"200,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,CUNDINAMARCA,27-38,"VACACIONES, RECREO Y OCIO",4,CASA / CABAÑA DE VACACIONES / APARTAMENTO ARRENDADO,"700,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,PUTUMAYO,15-26,VISITAR A FAMILIARES Y/O AMIGOS,,CASA FAMILIARES / AMIGOS,"1,600,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,NARIÑO,15-26,VISITAR A FAMILIARES Y/O AMIGOS,0,SIN INFORMACION,"150,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,27-38,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,6,HOTEL,"700,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,NARIÑO,15-26,"TURISMO DE NEGOCIOS: REALIZAR INVERSIÓN, VENDER Y/O COMPRAR BIENES O PRESTAR SERVICIOS",3,OTRO,"300,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,ANTIOQUIA,27-38,VISITAR A FAMILIARES Y/O AMIGOS,3,CASA FAMILIARES / AMIGOS,"400,000",YA LOS CONOCÍA,"2,021"
